RandomForest.py: tuned_parameters = [{'n_estimators' : [200, 1000, 3000:100:4000], 'max_depth' : [1, 5, 10, 100, None],
				'bootstrap' : [True, False], 'class_weight' : [None, 'balanced', 'balanced_subsample'] }]
Best parameters set found on development set:
{'n_estimators': 3100, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.775 (+/-0.003) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced'}
0.577 (+/-0.032) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.731 (+/-0.003) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.768 (+/-0.015) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.765 (+/-0.002) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.773 (+/-0.000) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.785 (+/-0.008) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced'}
0.504 (+/-0.002) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.654 (+/-0.037) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.691 (+/-0.014) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.703 (+/-0.035) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.704 (+/-0.007) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.703 (+/-0.004) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': 1, 'class_weight': 'balanced_subsample'}
0.598 (+/-0.008) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.706 (+/-0.029) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.719 (+/-0.021) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.731 (+/-0.008) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.739 (+/-0.011) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.737 (+/-0.018) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': 5, 'class_weight': 'balanced_subsample'}
0.563 (+/-0.001) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.689 (+/-0.006) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.746 (+/-0.031) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.743 (+/-0.008) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.749 (+/-0.024) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.749 (+/-0.024) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': 10, 'class_weight': 'balanced_subsample'}
0.598 (+/-0.011) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.705 (+/-0.009) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.773 (+/-0.002) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.778 (+/-0.021) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.784 (+/-0.008) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.780 (+/-0.007) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': 100, 'class_weight': 'balanced_subsample'}
0.592 (+/-0.034) for {'n_estimators': 1, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.709 (+/-0.022) for {'n_estimators': 10, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.775 (+/-0.004) for {'n_estimators': 100, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}

0.785 (+/-0.013) for {'n_estimators': 200, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}

0.777 (+/-0.008) for {'n_estimators': 500, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.776 (+/-0.011) for {'n_estimators': 1000, 'bootstrap': True, 'max_depth': None, 'class_weight': 'balanced_subsample'}
0.535 (+/-0.030) for {'n_estimators': 1, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
0.630 (+/-0.050) for {'n_estimators': 10, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
0.688 (+/-0.019) for {'n_estimators': 100, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
0.692 (+/-0.002) for {'n_estimators': 200, 'bootstrap': False, 'max_depth': 1, 'class_weight': None}
